Age,Conference,Date,Draft Year,Height,Player,Position,Season short,Seasons in league,Team,Weight,Real_value
29,All,1985-04-14,1978,196.0,Micheal Ray Richardson,PG,1985,6,New Jersey Nets,86.0,1.0
23,All,1985-04-07,1982,198.0,Derek Smith,SG,1985,2,Los Angeles Clippers,93.0,1.0
28,All,1985-04-01,1979,198.0,Calvin Natt,F,1985,5,Denver Nuggets,100.0,1.0
37,All,1985-03-24,1969,218.0,Kareem Abdul-Jabbar,C,1985,15,Los Angeles Lakers,102.0,1.0
28,All,1985-03-17,1978,206.0,Larry Bird,SF,1985,5,Boston Celtics,100.0,1.0
26,All,1985-03-10,1980,193.0,Darrell Griffith,SG,1985,4,Utah Jazz,86.0,1.0
24,All,1985-03-03,1982,190.0,Sleepy Floyd,PG,1985,2,Golden State Warriors,77.0,1.0
25,All,1985-02-24,1981,198.0,Mark Aguirre,SF,1985,3,Dallas Mavericks,105.0,1.0
25,All,1985-02-17,1979,206.0,Magic Johnson,PG,1985,5,Los Angeles Lakers,116.0,1.0
25,All,1985-02-03,1982,201.0,Dominique Wilkins,SF,1985,2,Atlanta Hawks,91.0,1.0
32,All,1985-01-27,1974,211.0,Tom McMillen,PF,1985,9,Washington Bullets,98.0,1.0
22,All,1985-01-20,1984,198.0,Michael Jordan,SG,1985,0,Chicago Bulls,98.0,1.0
31,All,1985-01-13,1975,188.0,World B. Free,G,1985,9,Cleveland Cavaliers,84.0,1.0
23,All,1985-01-06,1981,185.0,Isiah Thomas,PG,1985,3,Detroit Pistons,82.0,1.0
29,All,1984-12-30,1978,196.0,Micheal Ray Richardson,PG,1985,6,New Jersey Nets,86.0,1.0
23,All,1984-12-23,1982,206.0,Terry Cummings,PF,1985,2,Milwaukee Bucks,100.0,1.0
23,All,1984-12-16,1982,198.0,Derek Smith,SG,1985,2,Los Angeles Clippers,93.0,1.0
25,All,1984-12-09,1981,206.0,Orlando Woolridge,PF,1985,3,Chicago Bulls,98.0,1.0
29,All,1984-12-02,1977,211.0,Jack Sikma,C,1985,7,Seattle SuperSonics,104.0,1.0
28,All,1984-11-25,1977,201.0,Bernard King,SF,1985,7,New York Knicks,93.0,1.0
29,All,1984-11-18,1976,208.0,Moses Malone,C,1985,8,Philadelphia Sixers,98.0,1.0
31,All,1984-11-11,1976,201.0,Alex English,SF,1985,8,Denver Nuggets,86.0,1.0
26,All,1984-11-04,1981,208.0,Larry Nance,PF,1985,3,Phoenix Suns,93.0,1.0
26,All,1986-04-13,1982,201.0,Dominique Wilkins,SF,1986,3,Atlanta Hawks,91.0,1.0
28,All,1986-04-06,1981,208.0,Herb Williams,C,1986,4,Indiana Pacers,110.0,1.0
23,All,1986-03-30,1984,198.0,Charles Barkley,PF,1986,1,Philadelphia Sixers,114.0,1.0
30,All,1986-03-23,1976,196.0,Adrian Dantley,SF,1986,9,Utah Jazz,94.0,1.0
29,All,1986-03-16,1978,206.0,Larry Bird,SF,1986,6,Boston Celtics,100.0,1.0
26,All,1986-03-09,1979,206.0,Magic Johnson,PG,1986,6,Los Angeles Lakers,116.0,1.0
23,All,1986-03-02,1984,198.0,Charles Barkley,PF,1986,1,Philadelphia Sixers,114.0,1.0
28,All,1986-02-23,1979,190.0,Sidney Moncrief,SG,1986,6,Milwaukee Bucks,82.0,1.0
29,All,1986-02-16,1978,206.0,Larry Bird,SF,1986,6,Boston Celtics,100.0,1.0
32,All,1986-02-02,1976,201.0,Alex English,SF,1986,9,Denver Nuggets,86.0,1.0
23,All,1986-01-26,1984,198.0,Charles Barkley,PF,1986,1,Philadelphia Sixers,114.0,1.0
29,All,1986-01-19,1978,206.0,Larry Bird,SF,1986,6,Boston Celtics,100.0,1.0
29,All,1986-01-12,1979,198.0,Calvin Natt,F,1986,6,Denver Nuggets,100.0,1.0
23,All,1986-01-05,1983,201.0,Clyde Drexler,SG,1986,2,Portland Trail Blazers,95.0,1.0
26,All,1985-12-29,1982,201.0,Dominique Wilkins,SF,1986,3,Atlanta Hawks,91.0,1.0
27,All,1985-12-22,1981,208.0,Larry Nance,PF,1986,4,Phoenix Suns,93.0,1.0
23,All,1985-12-15,1984,190.0,Alvin Robertson,SG,1986,1,San Antonio Spurs,84.0,1.0
27,All,1985-12-08,1980,208.0,Jeff Ruland,C,1986,4,Washington Bullets,109.0,1.0
29,All,1985-12-01,1978,206.0,Larry Bird,SF,1986,6,Boston Celtics,100.0,1.0
32,All,1985-11-24,1976,201.0,Alex English,SF,1986,9,Denver Nuggets,86.0,1.0
23,All,1985-11-17,1985,213.0,Patrick Ewing,C,1986,0,New York Knicks,109.0,1.0
25,All,1985-11-10,1981,203.0,Buck Williams,PF,1986,4,New Jersey Nets,98.0,1.0
24,All,1985-11-03,1982,198.0,Derek Smith,SG,1986,3,Los Angeles Clippers,93.0,1.0
37,All,1987-04-19,1972,198.0,Julius Erving,SF,1987,14,Philadelphia Sixers,91.0,1.0
24,All,1987-04-12,1984,198.0,Michael Jordan,SG,1987,2,Chicago Bulls,98.0,1.0
27,All,1987-04-05,1979,206.0,Magic Johnson,PG,1987,7,Los Angeles Lakers,116.0,1.0
29,All,1987-03-29,1980,203.0,Larry Smith,PF,1987,6,Golden State Warriors,98.0,1.0
27,All,1987-03-22,1979,206.0,Magic Johnson,PG,1987,7,Los Angeles Lakers,116.0,1.0
23,All,1987-03-15,1985,206.0,Karl Malone,PF,1987,1,Utah Jazz,120.0,1.0
27,All,1987-03-08,1979,206.0,Magic Johnson,PG,1987,7,Los Angeles Lakers,116.0,1.0
24,All,1987-03-01,1984,198.0,Michael Jordan,SG,1987,2,Chicago Bulls,98.0,1.0
31,All,1987-02-22,1976,208.0,Moses Malone,C,1987,10,Washington Bullets,98.0,1.0
27,All,1987-02-15,1979,206.0,Magic Johnson,PG,1987,7,Los Angeles Lakers,116.0,1.0
26,All,1987-02-01,1982,190.0,Fat Lever,PG,1987,4,Denver Nuggets,77.0,1.0
33,All,1987-01-25,1976,201.0,Alex English,SF,1987,10,Denver Nuggets,86.0,1.0
24,All,1987-01-18,1984,206.0,Otis Thorpe,PF,1987,2,Sacramento Kings,102.0,1.0
25,All,1987-01-11,1981,185.0,Isiah Thomas,PG,1987,5,Detroit Pistons,82.0,1.0
30,All,1987-01-04,1978,206.0,Larry Bird,SF,1987,7,Boston Celtics,100.0,1.0
24,All,1986-12-28,1985,213.0,Patrick Ewing,C,1987,1,New York Knicks,109.0,1.0
27,All,1986-12-21,1979,206.0,Magic Johnson,PG,1987,7,Los Angeles Lakers,116.0,1.0
27,All,1986-12-14,1982,201.0,Dominique Wilkins,SF,1987,4,Atlanta Hawks,91.0,1.0
27,All,1986-12-07,1981,208.0,Tom Chambers,PF,1987,5,Seattle SuperSonics,100.0,1.0
24,All,1986-11-30,1985,211.0,Hot Rod Williams,FC,1987,0,Cleveland Cavaliers,98.0,1.0
24,All,1986-11-23,1984,190.0,Alvin Robertson,SG,1987,2,San Antonio Spurs,84.0,1.0
33,All,1986-11-16,1976,213.0,Robert Parish,C,1987,9,Boston Celtics,104.0,1.0
24,All,1986-11-09,1984,198.0,Michael Jordan,SG,1987,2,Chicago Bulls,98.0,1.0
24,All,1988-04-24,1985,206.0,Karl Malone,PF,1988,2,Utah Jazz,120.0,1.0
27,All,1988-04-17,1982,190.0,Fat Lever,PG,1988,5,Denver Nuggets,77.0,1.0
24,All,1988-04-10,1986,201.0,Harold Pressley,GF,1988,1,Sacramento Kings,95.0,1.0
25,All,1988-04-03,1984,198.0,Michael Jordan,SG,1988,3,Chicago Bulls,98.0,1.0
25,All,1988-03-27,1984,198.0,Michael Jordan,SG,1988,3,Chicago Bulls,98.0,1.0
25,All,1988-03-20,1984,198.0,Charles Barkley,PF,1988,3,Philadelphia Sixers,114.0,1.0
25,All,1988-03-13,1983,201.0,Clyde Drexler,SG,1988,4,Portland Trail Blazers,95.0,1.0
27,All,1988-03-06,1983,198.0,Bobby Hansen,SG,1988,4,Utah Jazz,86.0,1.0
23,All,1988-02-28,1986,211.0,Roy Tarpley,PF,1988,1,Dallas Mavericks,104.0,1.0
25,All,1988-02-21,1984,185.0,John Stockton,PG,1988,3,Utah Jazz,77.0,1.0
28,All,1988-02-14,1982,201.0,Dominique Wilkins,SF,1988,5,Atlanta Hawks,91.0,1.0
31,All,1988-01-31,1977,201.0,Bernard King,SF,1988,10,Washington Bullets,93.0,1.0
25,All,1988-01-24,1984,198.0,Michael Jordan,SG,1988,3,Chicago Bulls,98.0,1.0
28,All,1988-01-17,1982,201.0,Dominique Wilkins,SF,1988,5,Atlanta Hawks,91.0,1.0
