Player,Position,Draft Year,POTW Counts,Age,Height,Weight
Aaron McKie,G,1994,1,28.0,196.0,95.0
Adrian Dantley,SF,1976,1,30.0,196.0,94.0
Al Harrington,F,1998,1,29.0,206.0,111.0
Al Horford,FC,2007,3,28.0,208.0,111.0
Al Jefferson,FC,2004,7,27.0,208.0,131.0
Alex English,SF,1976,4,32.0,201.0,86.0
Allan Houston,G,1993,1,31.0,198.0,93.0
Allen Iverson,G,1996,23,28.0,183.0,75.0
Alonzo Mourning,C,1992,6,28.5,208.0,109.0
Alvin Robertson,SG,1984,3,24.0,190.0,84.0
Amar'e Stoudemire,FC,2002,8,25.0,208.0,111.0
Andre Drummond,C,2012,3,22.0,211.0,127.0
Andre Miller,PG,1999,4,28.0,190.0,91.0
Andrei Kirilenko,PF,1999,2,23.0,206.0,107.0
Andrew Bogut,C,2005,1,25.0,213.0,118.0
Andrew Bynum,C,2005,3,24.0,213.0,129.0
Antawn Jamison,F,1998,1,31.0,206.0,107.0
Anthony Davis,PF,2012,4,23.5,208.0,115.0
Antoine Walker,F,1996,2,26.0,206.0,120.0
Antonio McDyess,F,1995,2,25.0,206.0,111.0
Armen Gilliam,PF,1987,1,31.0,206.0,104.0
Arvydas Sabonis,C,1985,1,31.0,221.0,127.0
Baron Davis,G,1999,6,25.0,190.0,98.0
Ben Gordon,SG,2004,4,23.0,190.0,91.0
Ben Simmons,PF,2016,1,21.0,208.0,104.0
Ben Wallace,FC,1996,5,28.0,206.0,109.0
Bernard King,SF,1977,3,31.0,201.0,93.0
Blake Griffin,PF,2009,6,24.0,208.0,114.0
Bobby Hansen,SG,1983,1,27.0,198.0,86.0
Brad Daugherty,C,1986,1,26.0,213.0,111.0
Brad Miller,C,1998,2,29.5,213.0,118.0
Bradley Beal,SG,2012,1,24.0,196.0,94.0
Brandon Jennings,G,2009,3,23.0,185.0,77.0
Brandon Roy,G,2006,5,24.0,198.0,96.0
Brook Lopez,C,2008,3,26.0,213.0,122.0
Bruce Bowen,F,1993,1,33.0,201.0,91.0
Buck Williams,PF,1981,1,25.0,203.0,98.0
Byron Scott,SG,1983,1,26.0,190.0,88.0
Calvin Natt,F,1979,2,28.5,198.0,100.0
Carlos Boozer,PF,2002,6,26.5,206.0,121.0
Carmelo Anthony,F,2003,18,25.0,203.0,109.0
Caron Butler,SF,2002,1,26.0,201.0,103.0
Cedric Ceballos,SF,1990,2,25.5,198.0,86.0
Charles Barkley,PF,1984,11,28.0,198.0,114.0
Chauncey Billups,G,1997,6,30.0,190.0,95.0
Chris Bosh,PF,2003,9,24.0,211.0,107.0
Chris Gatling,PF,1991,1,28.0,208.0,100.0
Chris Kaman,C,2003,2,27.0,213.0,120.0
Chris Mullin,SF,1985,4,26.5,201.0,98.0
Chris Paul,PG,2005,13,23.0,183.0,79.0
Chris Webber,F-C,1993,9,27.0,206.0,111.0
Chris Wilcox,FC,2002,1,23.0,208.0,107.0
Chuck Person,SF,1986,1,24.0,203.0,100.0
Cliff Robinson,PF,1989,1,29.0,208.0,102.0
Clyde Drexler,SG,1983,11,26.0,201.0,95.0
Cuttino Mobley,G,1998,1,25.0,193.0,86.0
Dale Ellis,GF,1983,2,32.0,201.0,93.0
Damian Lillard,G,2012,6,26.5,191.0,88.0
Danny Granger,GF,2005,1,24.0,206.0,101.0
Danny Manning,F,1988,1,25.0,208.0,104.0
Darrell Armstrong,PG,1991,2,31.0,183.0,77.0
Darrell Griffith,SG,1980,1,26.0,193.0,86.0
David Lee,FC,2005,4,29.0,206.0,111.0
David Robinson,C,1987,15,28.0,216.0,113.0
David West,PF,2003,1,28.0,206.0,113.0
DeMar DeRozan,GF,2009,10,27.5,201.0,100.0
DeMarcus Cousins,C,2010,6,25.0,211.0,122.0
Dennis Rodman,PF,1986,1,30.0,201.0,95.0
Dennis Scott,SF,1990,2,24.5,203.0,104.0
Derek Anderson,G,1997,1,26.0,196.0,88.0
Derek Smith,SG,1982,3,23.0,198.0,93.0
Deron Williams,PG,2005,4,25.5,190.0,91.0
Derrick Rose,PG,2008,5,22.0,190.0,86.0
Devin Harris,G,2004,2,26.0,190.0,84.0
Dikembe Mutombo,C,1991,9,30.0,218.0,118.0
Dion Waiters,SG,2012,1,25.0,193.0,100.0
Dirk Nowitzki,PF,1998,16,30.0,213.0,111.0
Dominique Wilkins,SF,1982,8,27.5,201.0,91.0
Draymond Green,F,2012,1,25.0,201.0,104.0
Drazen Petrovic,SG,1986,1,28.0,196.0,91.0
Drew Gooden,FC,2002,1,30.0,208.0,113.0
Dwight Howard,C,2004,18,24.0,211.0,120.0
Dwyane Wade,SG,2003,19,27.0,193.0,100.0
Eddie Jones,G-F,1994,1,30.0,198.0,91.0
Elliot Perry,PG,1991,1,25.0,183.0,68.0
Elton Brand,PF,1999,5,26.0,206.0,115.0
Ersan Ilyasova,F,2005,1,24.0,208.0,107.0
Fat Lever,PG,1982,2,26.5,190.0,77.0
Gary Payton,G,1990,3,30.0,193.0,82.0
George Hill,G,2008,1,30.0,191.0,85.0
Gerald Wallace,F,2001,5,24.0,201.0,100.0
Gerald Wilkins,SG,1985,1,27.0,198.0,84.0
Giannis Antetokounmpo,F,2013,3,22.0,211.0,101.0
Gilbert Arenas,G,2001,7,24.0,190.0,87.0
Glen Rice,SF,1989,4,29.0,203.0,103.0
Glenn Robinson,SF,1994,3,28.0,201.0,102.0
Goran Dragic,G,2008,4,29.0,190.5,86.0
Gordon Hayward,GF,2010,1,26.0,203.0,102.0
Grant Hill,SF,1994,6,25.0,203.0,102.0
Greivis Vasquez,G,2010,1,26.0,198.0,98.0
Hakeem Olajuwon,C,1984,12,30.5,213.0,116.0
Harold Pressley,GF,1986,1,24.0,201.0,95.0
Hassan Whiteside,C,2010,1,27.0,213.0,120.0
Hedo Turkoglu,F,2000,2,28.0,208.0,100.0
Herb Williams,C,1981,1,28.0,208.0,110.0
Hot Rod Williams,FC,1985,1,24.0,211.0,98.0
Isaiah Thomas,PG,2011,5,27.0,175.0,84.0
Isiah Thomas,PG,1981,3,25.0,185.0,82.0
J.J. Barea,G,2006,1,31.0,183.0,84.0
J.R. Smith,SG,2004,1,27.0,198.0,102.0
Jack Sikma,C,1977,1,29.0,211.0,104.0
Jalen Rose,G,1994,2,29.5,203.0,95.0
Jamaal Magloire,C,2000,1,25.0,211.0,117.0
Jamal Crawford,SG,2000,1,25.0,196.0,88.0
Jamal Mashburn,SF,1993,1,22.0,203.0,112.0
Jameer Nelson,G,2004,2,27.0,183.0,86.0
James Harden,SG,2009,18,26.5,196.0,100.0
Jared Sullinger,C,2012,1,21.0,206.0,118.0
Jason Kidd,PG,1994,17,28.0,193.0,95.0
Jason Richardson,GF,2001,3,27.0,198.0,102.0
Jason Terry,G,1999,1,27.0,188.0,84.0
Jayson Williams,FC,1990,1,30.0,208.0,111.0
Jeff Malone,SG,1983,1,30.0,193.0,93.0
Jeff Ruland,C,1980,1,27.0,208.0,109.0
Jeff Teague,PG,2009,2,25.5,188.0,84.0
Jeremy Lin,G,2010,1,23.0,190.0,91.0
Jermaine O'Neal,FC,1996,2,23.5,211.0,107.0
Jerry Stackhouse,SF,1995,1,28.0,198.0,99.0
Jimmy Butler,GF,2011,4,27.0,201.0,105.0
Joe Dumars,SG,1985,2,29.0,190.0,86.0
Joe Johnson,SG,2001,7,26.0,201.0,109.0
Joel Embiid,C,2014,3,23.0,213.0,113.0
John Stockton,PG,1984,6,28.5,185.0,77.0
John Wall,PG,2010,7,24.0,193.0,95.0
Jordan Crawford,G,2010,1,25.0,196.0,88.0
Josh Howard,GF,2003,2,26.0,201.0,95.0
Josh Smith,PF,2004,2,24.5,206.0,102.0
Julius Erving,SF,1972,1,37.0,198.0,91.0
Juwan Howard,PF,1994,1,23.0,206.0,109.0
Kareem Abdul-Jabbar,C,1969,1,37.0,218.0,102.0
Karl Malone,PF,1985,23,31.0,206.0,120.0
Karl-Anthony Towns,C,2015,3,21.0,213.0,111.0
Kawhi Leonard,F,2011,4,24.5,201.0,104.0
Kemba Walker,G,2011,5,25.0,185.0,83.0
Kenneth Faried,F,2011,1,23.0,203.0,103.0
Kenny Anderson,PG,1991,1,23.0,183.0,76.0
Kenny Smith,PG,1987,1,25.0,190.0,77.0
Kenyon Martin,F,2000,1,26.0,206.0,109.0
Kevin Durant,SF,2007,26,25.0,206.0,109.0
Kevin Garnett,PF,1995,20,27.0,211.0,109.0
Kevin Johnson,PG,1987,5,24.0,185.0,82.0
Kevin Love,FC,2008,3,25.0,208.0,114.0
Kevin Martin,SG,2004,2,26.0,201.0,90.0
Kevin Willis,C,1984,2,30.0,213.0,111.0
Khris Middleton,SF,2012,1,26.0,203.0,106.0
Klay Thompson,G,2011,4,25.0,201.0,98.0
Kobe Bryant,SG,1996,33,28.0,198.0,96.0
Kristaps Porzingis,FC,2015,1,22.0,221.0,109.0
Kurt Thomas,FC,1995,1,29.0,206.0,109.0
Kyle Lowry,PG,2006,5,28.0,185.0,89.0
Kyrie Irving,G,2011,4,21.5,190.0,88.0
LaMarcus Aldridge,FC,2006,10,28.0,211.0,118.0
Lamar Odom,PF,1999,1,24.0,208.0,104.0
Larry Bird,SF,1978,7,29.0,206.0,100.0
Larry Hughes,G,1998,1,26.0,196.0,83.0
Larry Johnson,F,1991,4,23.0,198.0,113.0
Larry Nance,PF,1981,4,28.0,208.0,93.0
